SecondsFromStart,FramesFromStart,FoxesPopulation,RabbitPopulation,RabbitSpeedMedian,RabbitSensoryRangeMedian,RabbitFertilityMedian,FoxSpeedMedian,FoxSensoryRangeMedian,FoxFertilityMedian,FoxesDiedOfHunger,FoxesDiedOfThirst,RabbitsDiedOfHunger,RabbitsDiedOfThirst,RabbitsDiedOfBeingEaten
87.63348,18750,0,3,65,20,36,,,,0,0,0,1,0
87.87004,18800,0,3,65,20,36,,,,0,0,0,1,0
88.08573,18850,0,3,65,20,36,,,,0,0,0,1,0
88.328,18900,0,3,65,20,36,,,,0,0,0,1,0
88.55242,18950,0,3,65,20,36,,,,0,0,0,1,0
88.771,19000,0,3,65,20,36,,,,0,0,0,1,0
88.98892,19050,0,3,65,20,36,,,,0,0,0,1,0
89.24353,19100,0,3,65,20,36,,,,0,0,0,1,0
89.46709,19150,0,3,65,20,36,,,,0,0,0,1,0
89.6816,19200,0,3,65,20,36,,,,0,0,0,1,0
89.92822,19250,0,3,65,20,36,,,,0,0,0,1,0
90.1489,19300,0,3,65,20,36,,,,0,0,0,1,0
90.36493,19350,0,3,65,20,36,,,,0,0,0,1,0
90.58131,19400,0,3,65,20,36,,,,0,0,0,1,0
90.81091,19450,0,3,65,20,36,,,,0,0,0,1,0
91.03522,19500,0,3,65,20,36,,,,0,0,0,1,0
91.25105,19550,0,3,65,20,36,,,,0,0,0,1,0
91.47112,19600,0,3,65,20,36,,,,0,0,0,1,0
91.71127,19650,0,3,65,20,36,,,,0,0,0,1,0
91.93374,19700,0,3,65,20,36,,,,0,0,0,1,0
92.16066,19750,0,3,65,20,36,,,,0,0,0,1,0
92.41536,19800,0,3,65,20,36,,,,0,0,0,1,0
92.63506,19850,0,3,65,20,36,,,,0,0,0,1,0
92.86325,19900,0,3,65,20,36,,,,0,0,0,1,0
93.075,19950,0,3,65,20,36,,,,0,0,0,1,0
93.30878,20000,0,3,65,20,36,,,,0,0,0,1,0
93.52238,20050,0,3,65,20,36,,,,0,0,0,1,0
93.73359,20100,0,3,65,20,36,,,,0,0,0,1,0
93.95526,20150,0,3,65,20,36,,,,0,0,0,1,0
94.16629,20200,0,3,65,20,36,,,,0,0,0,1,0
94.37756,20250,0,3,65,20,36,,,,0,0,0,1,0
94.5803,20300,0,3,65,20,36,,,,0,0,0,1,0
94.78392,20350,0,3,65,20,36,,,,0,0,0,1,0
95.00827,20400,0,3,65,20,36,,,,0,0,0,1,0
95.21874,20450,0,3,65,20,36,,,,0,0,0,1,0
95.42796,20500,0,3,65,20,36,,,,0,0,0,1,0
95.6423,20550,0,3,65,20,36,,,,0,0,0,1,0
95.85388,20600,0,3,65,20,36,,,,0,0,0,1,0
96.07615,20650,0,3,65,20,36,,,,0,0,0,1,0
96.27654,20700,0,3,65,20,36,,,,0,0,0,1,0
96.48235,20750,0,3,65,20,36,,,,0,0,0,1,0
96.70848,20800,0,3,65,20,36,,,,0,0,0,1,0
96.91115,20850,0,3,65,20,36,,,,0,0,0,1,0
